filename,width,height,class,xmin,ymin,xmax,ymax
s_DSCF1013.JPG,300,225,bus,100,138,140,155
s_DSCF1013.JPG,300,225,bus,145,133,184,151
s_DSCF1013.JPG,300,225,bus,190,128,228,147
s_DSCF1013.JPG,300,225,bus,105,150,146,169
s_DSCF1013.JPG,300,225,bus,154,147,194,166
s_DSCF1013.JPG,300,225,bus,199,143,238,162
s_DSCF1015.JPG,300,225,bus,52,110,149,183
s_DSCF1015.JPG,300,225,bus,168,84,261,144
s_DSCF1016.JPG,300,225,bus,87,151,179,201
s_DSCF1016.JPG,300,225,bus,160,105,244,151
s_DSCF1016.JPG,300,225,bus,196,58,275,111
s_DSCF1017.JPG,300,225,bus,150,57,215,92
s_DSCF1021.JPG,300,225,bus,163,62,239,106
s_DSCF1023.JPG,300,225,bus,156,95,221,133
s_DSCF1025.JPG,300,225,bus,81,129,183,187
s_DSCF1029.JPG,300,225,bus,10,135,115,195
s_DSCF1029.JPG,300,225,bus,119,88,212,157
s_DSCF1029.JPG,300,225,bus,209,67,296,134
s_DSCF1032.JPG,300,225,bus,11,98,92,137
s_DSCF1032.JPG,300,225,bus,192,92,267,130
s_DSCF1037.JPG,300,225,bus,99,140,220,193
s_DSCF1038.JPG,300,225,bus,99,145,243,210
s_DSCF1040.JPG,300,225,bus,37,149,118,193
s_DSCF1040.JPG,300,225,bus,118,147,190,186
s_DSCF1040.JPG,300,225,bus,189,146,254,184
s_DSCF1042.JPG,300,225,bus,166,138,249,179
s_DSCF1044.JPG,300,225,bus,120,98,197,141
s_DSCF1048.JPG,300,225,bus,36,101,91,126
s_DSCF1048.JPG,300,225,bus,123,97,177,121
s_DSCF1048.JPG,300,225,bus,206,90,264,115
s_DSCF1049.JPG,300,225,bus,39,82,104,113
s_DSCF1049.JPG,300,225,bus,141,98,202,130
s_DSCF1049.JPG,300,225,bus,226,112,284,140
s_DSCF1050.JPG,300,225,bus,37,62,103,93
s_DSCF1050.JPG,300,225,bus,145,66,210,96
s_DSCF1053.JPG,300,225,bus,76,126,158,168
s_DSCF1053.JPG,300,225,bus,165,124,248,167
s_DSCF1056.JPG,300,225,bus,38,78,140,130
s_DSCF1056.JPG,300,225,bus,139,78,240,132
s_DSCF1059.JPG,300,225,bus,100,81,191,139
s_DSCF1061.JPG,300,225,bus,40,135,152,200
s_DSCF1061.JPG,300,225,bus,97,98,192,150
s_DSCF1064.JPG,300,225,bus,197,29,263,72
s_DSCF1064.JPG,300,225,bus,48,60,124,108
s_DSCF1065.JPG,300,225,bus,57,84,124,109
s_DSCF1065.JPG,300,225,bus,180,74,243,99
s_DSCF1066.JPG,300,225,bus,83,92,142,119
s_DSCF1066.JPG,300,225,bus,166,92,223,118
s_DSCF1068.JPG,300,225,bus,61,28,169,69
s_DSCF1068.JPG,300,225,bus,202,126,280,169
s_DSCF1070.JPG,300,225,bus,132,116,217,164
s_DSCF1070.JPG,300,225,bus,125,81,197,124
s_DSCF1072.JPG,300,225,bus,61,99,136,144
s_DSCF1072.JPG,300,225,bus,156,120,236,164
s_DSCF1074.JPG,300,225,bus,92,108,235,187
s_DSCF1077.JPG,300,225,bus,25,105,116,156
